,Russian,English
232,Греческий салат с оливками,Greek salad with olives
233,Салат с авокадо и креветками,Avocado and shrimp salad
234,Салат с козьим сыром и свёклой,Goat cheese and beetroot salad
235,Салат с рукколой и пармезаном,Arugula and parmesan salad
236,Салат с тунцом и яйцом,Tuna and egg salad
237,Салат с яблоком и сельдереем,Apple and celery salad
238,Салат с кукурузой и фасолью,Corn and bean salad
239,Салат с киноа и овощами,Quinoa and vegetable salad
240,Салат с орехами и мёдом,Nut and honey salad
241,Пельмени с олениной со сметаной, Venison dumplings with sour cream
242,Блины с красной икрой,Pancakes with red caviar
243,Окрошка на квасе,Okroshka with kvass
244,Холодец с хреном,Meat jelly with horseradish
245,Солянка с копчёностями,Solyanka soup with smoked meats
246,Манты с бараниной,Manti with lamb
247,Чак-чак с медом,Chak-chak with honey
248,Плов с бараниной,Piдaf with lamb
249,Галушки с грибами,Dumplings with mushrooms
250,Шашлык из свинины,Skewerd pork
251,Сырная тарелка с орехами,Cheese board with nuts
252,Домашний творог с мёдом,Homemade cottage cheese with honey
253,Камамбер с фруктовым соусом,Camembert with fruit sauce
254,Козий сыр с оливками,Goat cheese with olives
255,Таледжо с красным вином,Taleggio with red wine
256,Сырный фондю,Cheese fondue
257,Мягкий сыр с ягодным джемом,Soft cheese with berry jam
258,Овечий сыр с травами,Sheep milk cheese with herbs
259,Пармезан с бальзамическим соусом,Parmesan chese with balsamic glaze
260,Голубой сыр с грецкими орехами,Blue cheese with walnuts
261,Тофу с овощами и соевым соусом,Tofu with vegetables and soy sauce
262,Веганский бургер с авокадо,Vegan burger with avocado
263,Салат с киноа и тофу,Quinoa and tofu salad
264,Овощной суп с нутом,Vegetable soup with chickpeas
265,Фалафель с тахини,Falafel with tahini
266,Веганские котлеты из чечевицы,Lentil vegan patties
267,Картофель с травами и оливковым маслом,Potatoes with herbs and olive oil
268,Овощное карри с рисом,Vegetable curry with rice
269,Веганский шоколадный торт,Vegan chocolate cake
270,Фруктовый салат с мёдом,Fruit salad with honey
271,Маргарита с солью,Margarita with salt
281,Сибирские пельмени с грибами,Siberian dumplings with mushrooms
283,Запечённый филей из кабана,Roasted wild boar fillet
284,Дикий кабан с ягодным соусом,Wild boar with berry sauce
286,Рыбный пирог с икрой,Fish pie with caviar
287,Утиная грудка с клюквой,Duck breast with cranberries
288,Запечённый козлёнок с травами,Roasted goat with herbs
289,Фаршированный перепел с молодым картофелем и артишоками,Stuffed quail with baby potatoes and artichokes
290,Десерт из морошки,Cloudberry dessert
292,Чай из таёжных трав,Taiga herbal tea
293,Настойка на кедровых орехах,Pine nut tincture
294,Лимонад из облепихи,Sea buckthorn lemonade
295,Сибирский морс из клюквы,Siberian cranberry drink
296,"Коктейль ""Тайга""",Taiga cocktail
297,Настойка на шишках,Pine cone tincture
299,Настойка на бруснике,Lingonberry tincture
300,Лимонад из мяты и липы,Mint and linden lemonade
301,"Торт ""Тайга"" с лесными ягодами",Taiga cake with wild berries
302,Пирог с кедровыми орехами,Pine nut pie
303,Десерт из брусники и сливок,Lingonberry and cream dessert
304,Мороженое из облепихи,Sea buckthorn ice cream
305,Чизкейк с клюквой,Cranberry cheesecake
306,Пирог с малиной и белым шоколадом,Raspberry and white chocolate pie
307,Десерт из черники и кешью,Blueberry and cashew dessert
308,"Торт ""Лесной орех""",Hazelnut cake
309,Мусс из морошки и мёда,Cloudberry and honey mousse
310,Пирог с клубникой и миндалём,Strawberry and almond pie
312,Карась в лимонном маринаде с розмарином и чесночным маслом,Crucian carp in lemon marinade with rosemary and garlic oil
313,Фаршированные перцы с говядиной и рисом под томатным соусом,Stuffed bell peppers with beef and rice in tomato sauce
314,Тыквенный суп-пюре с кокосовым молоком и имбирем,Pumpkin cream soup with coconut milk and ginger
315,Запеченный картофель с трюфельным маслом и пармезаном,Baked potatoes with truffle oil and parmesan
316,"Салат из авокадо, креветок и грейпфрута с цитрусовым дрессингом","Avocado, shrimp and grapefruit salad with citrus dressing"
317,Паста с морепродуктами в сливочно-чесночном соусе,Pasta with seafood in creamy garlic sauce
318,Утка в апельсиновом соусе с фри из батата,Duck in orange sauce served with sweet potato fries
319,Сырный суп с брокколи и хрустящими гренками,Cheesy broccoli soup with crispy croutons
320,Куриные котлеты с грибным соусом и гречневой кашей,Chicken cutlets with mushroom sauce and buckwheat porridge
321,Стейк из лосося с овощами гриль и соусом песто,Salmon steak with grilled vegetables and pesto sauce
322,Рулетики из баклажанов с сыром и томатами,Eggplant rolls stuffed with cheese and tomatoes
323,Суп из морепродуктов с шафраном и базиликом,Seafood soup with saffron and basil
324,Фокачча с оливками и розмарином,Focaccia with olives and rosemary
325,Каре ягненка с мятным соусом и запеченными овощами,Lamb rack with mint sauce and roasted vegetables
326,"Салат с тунцом, яйцом и стручковой фасолью","Salad with tuna, egg and green beans"
327,Ризотто с грибами и трюфельным маслом,Mushroom risotto with truffle oil
328,Пирог с яблоками и корицей,Apple pie with cinnamon
329,Брускетта с томатами и базиликом,Bruschetta with tomatoes and basil
330,Карпаччо из говядины с рукколой и пармезаном,Beef carpaccio with arugula and parmesan
331,Суп с фрикадельками и лапшой,Meatball soup with noodles
332,Греческий салат с оливками и фетой,Greek salad with olives and feta
333,Лазанья с мясным фаршем и бешамель,Lasagna with minced meat and béchamel sauce
334,Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame
335,Суп с чечевицей и копченым беконом,Lentil soup with smoked bacon
336,"Гусь, запеченный с яблоками и медом",Roasted goose with apples and honey
337,"Салат с курицей, ананасом и орехами кешью",Chicken salad with pineapple and cashews
338,Картофельное пюре с зеленью и сливочным маслом,Mashed potatoes with herbs and butter
339,Стейк из говядины с красным вином и грибами,Beef steak with red wine and mushrooms
340,"Салат с креветками, авокадо и манго",Shrimp salad with avocado and mango
341,Паста карбонара с беконом и пармезаном,Carbonara pasta with bacon and parmesan
342,Суп с курицей и лапшой,Chicken noodle soup
343,Жареные кабачки с чесноком и зеленью,Fried zucchini with garlic and herbs
344,Курица в сливочном соусе с грибами,Chicken in creamy mushroom sauce
345,"Салат с беконом, яйцом и салатными листьями","Salad with bacon, egg and lettuce"
346,Томатный суп с базиликом и сливками,Tomato soup with basil and cream
347,Жареный рис с овощами и курицей,Fried rice with vegetables and chicken
348,Стейк из тунца с соусом терияки,Tuna steak with teriyaki sauce
349,Сырный фондю с хлебом и овощами,Cheese fondue with bread and vegetables
350,"Салат с говядиной, рукколой и томатами",Beef salad with arugula and tomatoes
351,Пирог с сыром и зеленью,Cheese and herb pie
352,Запеченная рыба с лимоном и травами,Baked fish with lemon and herbs
353,Крем-суп из брокколи с хрустящими гренками,Broccoli cream soup with crispy croutons
354,Паста с лососем и сливочным соусом,Pasta with salmon and creamy sauce
355,"Салат с курицей, виноградом и орехами",Chicken salad with grapes and nuts
356,Картофельные драники с сметаной,Potato pancakes with sour cream
357,Суп с фасолью и копченой колбасой,Bean soup with smoked sausage
358,Стейк из свинины с яблочным соусом,Pork steak with apple sauce
359,"Салат с креветками, авокадо и рукколой",Shrimp salad with avocado and arugula
360,Паста с грибами и сливочным соусом,Pasta with mushrooms and creamy sauce
361,Суп с курицей и рисом,Chicken and rice soup
362,Жареные баклажаны с чесноком и зеленью,Fried eggplant with garlic and herbs
363,Курица в медовом соусе с кунжутом,Chicken in honey sauce with sesame
364,"Салат с тунцом, кукурузой и яйцом","Salad with tuna, corn and egg"
365,Томатный суп с базиликом и чесночными гренками,Tomato soup with basil and garlic croutons
366,Жареный рис с креветками и овощами,Fried rice with shrimp and vegetables
367,Стейк из лосося с соусом песто,Salmon steak with pesto sauce
368,Сырный фондю с хлебом и яблоками,Cheese fondue with bread and apples
369,"Салат с курицей, огурцами и томатами",Chicken salad with cucumbers and tomatoes
370,Пирог с грибами и сыром,Mushroom and cheese pie
371,Запеченная рыба с травами и лимоном,Baked fish with herbs and lemon
372,Крем-суп из тыквы с хрустящими гренками,Pumpkin cream soup with crispy croutons
373,Паста с креветками и сливочным соусом,Pasta with shrimp and creamy sauce
374,"Салат с курицей, яблоками и орехами",Chicken salad with apples and nuts
375,Картофельные драники с грибами,Potato pancakes with mushrooms
376,Суп с горохом и копчеными ребрышками,Pea soup with smoked ribs
377,Стейк из индейки с клюквенным соусом,Turkey steak with cranberry sauce
378,"Салат с креветками, авокадо и томатами",Shrimp salad with avocado and tomatoes
379,Паста с брокколи и сливочным соусом,Pasta with broccoli and creamy sauce
380,Суп с курицей и вермишелью,Chicken noodle soup
381,Жареные кабачки с чесноком и травами,Fried zucchini with garlic and herbs
382,Курица в томатном соусе с базиликом,Chicken in tomato basil sauce
383,"Салат с говядиной, томатами и огурцами",Beef salad with tomatoes and cucumbers
384,Томатный суп с гренками и базиликом,Tomato soup with croutons and basil
385,Жареный рис с курицей и овощами,Fried rice with chicken and vegetables
386,Стейк из тунца с соусом из лайма,Tuna steak with lime sauce
387,Сырный фондю с хлебом и виноградом,Cheese fondue with bread and grapes
388,"Салат с курицей, огурцами и яйцом",Chicken salad with cucumbers and egg
389,Пирог с рыбой и сыром,Fish and cheese pie
390,Запеченная рыба с лимоном и укропом,Baked fish with lemon and dill
391,Крем-суп из шпината с хрустящими гренками,Spinach cream soup with crispy croutons
392,Паста с лососем и томатным соусом,Pasta with salmon and tomato sauce
393,"Салат с курицей, ананасом и орехами",Chicken salad with pineapple and nuts
394,Картофельные драники с сыром,Potato pancakes with cheese
395,Суп с чечевицей и копченой колбасой,Lentil soup with smoked sausage
396,Стейк из свинины с ягодным соусом,Pork steak with berry sauce
397,"Салат с креветками, авокадо и огурцами",Shrimp salad with avocado and cucumbers
398,Паста с курицей и сливочным соусом,Pasta with chicken and creamy sauce
399,Суп с курицей и картофелем,Chicken and potato soup
400,Жареные баклажаны с чесноком и томатами,Fried eggplant with garlic and tomatoes
401,Курица в апельсиновом соусе с кунжутом,Chicken in orange sauce with sesame
402,"Салат с тунцом, огурцами и томатами","Salad with tuna, cucumbers and tomatoes"
403,Томатный суп с базиликом и хрустящими гренками,Tomato soup with basil and crispy croutons
404,Жареный рис с овощами и креветками,Fried rice with vegetables and shrimp
405,Стейк из лосося с лимонным соусом,Salmon steak with lemon sauce
406,Сырный фондю с хлебом и грушами,Cheese fondue with bread and pears
407,"Салат с курицей, томатами и огурцами",Chicken salad with tomatoes and cucumbers
408,Пирог с мясом и картофелем,Meat and potato pie
409,Запеченная рыба с травами и лимоном,Baked fish with herbs and lemon
410,Крем-суп из тыквы с сырными гренками,Pumpkin cream soup with cheese croutons
411,Паста с креветками и томатным соусом,Pasta with shrimp and tomato sauce
413,Карпаччо из оленины с трюфельным маслом и пармезаном,Venison carpaccio with truffle oil and parmesan.
414,Суп из лесных грибов с копчёным беконом,Forest mushroom soup with smoked bacon.
415,Форель на гриле с лимонным маслом и зеленью,Grilled trout with lemon butter and herbs.
