,add,remove,remove_index
227,существование,зелень,"[13, 193, 206, 241, 269]"
228,дикой,медведь,"[156, 218]"
229,щека,клевер,[187]
230,сообщить,сушёный,"[28, 292]"
231,компания,пончик,[840]
232,каждый,прошутто,[3]
233,определённый,помидорный,[327]
234,инь,клювой,"[597, 779, 835]"
235,сусальный,лодочка,[252]
236,269,песочный,[162]
237,позволить,кета,"[153, 221, 1158]"
238,хуан,голландез,"[428, 630, 718, 833, 1047, 1217]"
239,трюфельноить,жирный,[54]
240,клюквой,сацебель,[185]
241,аллергия,художественный,[]
242,ганаш,жка,"[80, 352, 403, 486, 521, 555, 598, 638, 666, 674, 682, 764, 770, 813, 837, 901, 934, 971, 1068, 1238]"
243,хреновуха,ассорти,"[93, 236, 249, 307]"
244,рной,чиз,"[163, 173, 213, 277, 324, 376, 456, 520, 532, 546, 685, 705, 730, 761, 783, 821, 926, 1083, 1161]"
245,age,судак,"[55, 215, 245]"
246,любимов,чкома,[863]
247,время,улуном,"[425, 762, 966]"
248,мешок,пара,"[188, 192]"
249,воскресение,тарт,"[4, 15, 25, 26, 50, 71, 87, 95, 113, 152, 153, 169, 176, 194, 234, 256, 263, 288, 305, 312, 315, 414, 418, 482, 488, 509, 513, 524, 531, 559, 579, 593, 603, 625, 640, 659, 696, 722, 729, 733, 757, 759, 762, 766, 787, 788, 808, 826, 833, 854, 862, 874, 876, 898, 903, 915, 924, 938, 964, 972, 973, 1022, 1023, 1026, 1163, 1164, 1193, 1194, 1200]"
250,эстрагон,сердце,"[68, 415]"
251,декоратор,серый,[305]
252,75,кориандр,[104]
253,кедровка,тушёный,"[177, 856]"
254,родниковый,фламбе,[35]
255,одуванчик,коктейль,"[175, 697]"
256,kitchen,ароматный,"[216, 225]"
257,ежевичный,сырник,[]
258,еловый,гусь,[227]
259,номинал,грудинка,"[224, 226]"
260,неузнаваемость,тресковый,[191]
261,жный,кролик,"[191, 240]"
262,стоимость,цедра,[221]
263,малин,калин,"[472, 515, 816, 886, 955, 1177]"
264,баран,медальон,[72]
265,biga,базилика,[193]
266,сотрудничать,рябчик,[265]
267,многие,устричный,"[255, 399]"
268,правда,терин,[396]
269,результат,сливка,[311]
270,природный,самса,[]
271,pearl,грейпфрут,[175]
272,трушин,начинка,"[15, 69, 302]"
273,малой,буйволин,[142]
274,михаил,лососёвый,"[16, 107, 242]"
275,ромейный,десерт,"[24, 42, 64, 79, 94, 134, 167, 324, 581, 965]"
276,также,свежевыжать,[763]
277,,сильный,[624]
278,,морепродукт,"[7, 57]"
279,,дымный,[643]
280,,рукола,"[59, 279]"
281,,ролл,[193]
282,,быстрый,[247]
283,,ночной,[52]
284,,jelly,[980]
285,,янтарь,[230]
286,,миньон,[151]
287,,укроп,"[103, 216, 228, 258, 297, 308, 339, 362, 630, 951, 1027, 1201]"
288,,айва,[161]
289,,скумбрия,[287]
290,,овёс,[]
291,,уютный,[647]
292,,очарование,[47]
293,,свинин,"[85, 228, 289, 291, 834]"
294,,засахарить,[218]
295,,специя,[100]
296,,ремулад,[153]
297,,грена,[158]
298,,укрытый,[542]
299,,семя,"[87, 224]"
300,,полить,[228]
301,,шалфей,[415]
302,,узбекский,[434]
303,,моллюск,[81]
304,,тост,"[180, 234, 255, 296]"
305,,фондон,[963]
306,,рагу,"[290, 416]"
307,,микс,"[187, 539, 1249]"
308,,брауни,[597]
309,,орешек,"[161, 185, 208, 220]"
310,,волнушка,[124]
311,,боб,"[63, 396]"
312,,крутон,[243]
313,,тный,"[10, 28, 46, 51, 89, 129, 131, 165, 180, 196, 216, 223, 225, 233, 236, 289, 303, 365, 530, 563, 647, 804, 899, 987, 995, 1058, 1071, 1160, 1226, 1233, 1240]"
314,,миндальный,[45]
315,,олений,[476]
316,,кабачковый,[492]
317,,крылышко,"[18, 130]"
318,,тарелка,"[84, 202, 295]"
319,,чаемый,"[388, 677, 805, 958, 964]"
320,,треск,"[191, 214, 258, 286]"
321,,кость,[226]
322,,карамельный,[130]
323,,фасоль,"[128, 225]"
324,,гренка,"[137, 157, 199, 220]"
325,,малина,"[114, 167, 899]"
326,,гуляш,[]
327,,карий,[]
328,,гаспачо,"[129, 253]"
329,,изать,[397]
330,,варение,"[165, 171, 282]"
331,,горячее,[440]
332,,пикантный,[303]
333,,пралине,[236]
334,,колбаса,[19]
335,,сырой,[771]
336,,шефский,[]
337,,сушить,[268]
338,,булгуром,[262]
339,,мусса,"[162, 311]"
340,,бешамель,[178]
341,,мясной,[222]
342,,крахмальный,[148]
343,,пекински,[262]
344,,пудинг,[56]
345,,щука,[145]
346,,пит,"[41, 965, 1089]"
347,,драник,[226]
348,,коппеть,"[714, 717]"
349,,яркий,[187]
350,,ленком,[596]
351,,топинамур,"[378, 666]"
352,,хумус,"[41, 390, 600, 602, 634, 640, 809, 815, 871, 889, 988, 1036, 1208]"
353,,камбала,[178]
354,,фруктовый,"[134, 299]"
355,,коренья,[240]
356,,ризотто,"[38, 57, 146, 235]"
357,,йогурт,"[49, 99, 266]"
358,,гратный,[89]
359,,кускус,[]
360,,свинина,"[228, 291, 834]"
361,,кипеть,[]
362,,гарнировать,[]
363,,seasonal,[]
364,,вепрь,[]
365,,каштан,[]
366,,листик,[]
367,,кондитерский,[]
368,,соевый,"[188, 268]"
369,,фрукт,"[134, 219, 249, 299]"
370,,перепелиный,[219]
371,,стружка,[]
372,,кисло,[218]
373,,ветчина,[216]
374,,блинчик,"[282, 293]"
375,,ожидание,[284]
376,,ананас,[283]
377,,тайский,[1114]
378,,корица,[312]
379,,спаржа,"[22, 260, 943]"
380,,кулич,[]
381,,заправить,"[181, 189]"
382,,шашлык,[]
383,,потрошка,[]
384,,крупыч,[]
385,,утка,"[135, 181, 244, 257, 259, 262, 310]"
386,,лайм,"[180, 262, 269, 272]"
387,,оливковый,"[189, 200, 261]"
388,,шипучий,[]
389,,фейхоа,[]
390,,коптить,"[216, 378, 593, 758, 765, 773, 909, 1068, 1158]"
391,,лёгкий,[838]
392,,фетой,"[10, 285]"
393,,риболлита,[]
394,,чизкей,"[173, 213, 277, 324, 376, 456, 520, 685, 705, 730, 761, 821, 926, 1083, 1161]"
395,,томлёный,[227]
396,,картошка,[155]
397,,цвета,"[352, 432]"
398,,пряность,"[261, 280]"
399,,арктический,[258]
400,,обжечь,"[554, 975]"
401,,бефстроганов,[]
402,,фрехать,[763]
