,Russian,English
26,27. **Французский луковый суп с коньяком и сырной корочкой**,French onion soup with cognac and cheese crust
27,28. **Тыквенный суп-пюре с имбирём и кокосовым молоком**,Pumpkin purée soup with ginger and coconut milk
28,29. **Щавелевый суп с яйцом-пашот и сметаной**,Sorrel soup with poached egg and sour cream
29,30. **Мисо-суп с грибами шиитаке и тофу**,Miso soup with shiitake mushrooms and tofu
30,31. **Стейк рибай из якутской говядины с соусом из красного вина**,Ribeye steak from Yakutian beef with red wine sauce
31,32. **Утка по-пекински с тонкими блинчиками и сливовым соусом**,Peking duck with thin pancakes and plum sauce
32,33. **Филе сибаса на коже с лимонно-укропным соусом**,Sea bass fillet with crispy skin and lemon-dill sauce
33,34. **Кролик в сливочном соусе с розмарином и молодой морковью**,Rabbit in creamy rosemary sauce with baby carrots
34,35. **Каре ягнёнка с чесночным пюре и баклажанной икрой**,Rack of lamb with garlic mash and eggplant caviar
35,36. **Гуляш из зубра с паприкой и домашней лапшой**,Bison goulash with paprika and homemade noodles
36,37. **Жаркое из кабана с картофелем и луковым мармеладом**,Wild boar roast with potatoes and onion marmalade
37,38. **Фазан в винном соусе с клюквой и лесными грибами**,Pheasant in wine sauce with cranberries and wild mushrooms
38,39. **Лосось на кедровой доске с медовым глазуром**,Salmon on cedar plank with honey glaze
39,"40. **Телячьи щёчки, томлёные в красном вине с пюре из сельдерея**",Veal cheeks braised in red wine with celery purée
40,41. **Картофельное пюре с трюфельным маслом**,Mashed potatoes with truffle oil
41,42. **Греча с луком и шампиньонами**,Buckwheat with onions and mushrooms
42,43. **Запечённая свёкла с козьим сыром и грецким орехом**,Roasted beetroot with goat cheese and walnuts
43,"44. **Тыква, запечённая с кленовым сиропом**",Pumpkin baked with maple syrup
44,45. **Ризотто с белыми грибами и пармезаном**,Porcini mushroom risotto with Parmesan
45,46. **Шоколадный фондан с малиновым сорбетом**,Chocolate fondant with raspberry sorbet
46,47. **Медовик с грецкими орехами и сгущёнкой**,Honey cake with walnuts and condensed milk
47,48. **Черничный чизкейк с ванильным соусом**,Blueberry cheesecake with vanilla sauce
48,49. **Клюквенный пай с ванильным мороженым**,Cranberry pie with vanilla ice cream
49,50. **Эклер с заварным кремом и карамелью**,Éclair with custard and caramel
50,(Продолжение можно добавить по желанию,ещё 50 позиций в том же стиле!)
51,1. Утка в медовой глазури с грушевым пюре и розмарином,Duck in honey glaze with pear purée and rosemary.
52,2. Кролик в вишневом соусе с артишоками и молодым картофелем,Rabbit in cherry sauce with artichokes and new potatoes.
53,3. Осетрина на пару с лимонным маслом и укропом,Steamed sturgeon with lemon butter and dill.
54,4. Копчёный угорь с соусом из белого вина и каперсов,Smoked eel with white wine sauce and capers.
55,5. Томатный суп с базиликом и моцареллой,Tomato soup with basil and mozzarella.
56,6. Крем-суп из тыквы с имбирём и кокосовым молоком,Pumpkin cream soup with ginger and coconut milk.
57,7. Карпаччо из оленины с пармезаном и рукколой,Venison carpaccio with parmesan and arugula.
58,8. Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame.
59,9. Лосось в корочке из миндаля с цитрусовым соусом,Salmon in almond crust with citrus sauce.
60,10. Морской окунь с томатами черри и оливками,Sea bass with cherry tomatoes and olives.
61,11. Фаршированные кабачки с козьим сыром и грецким орехом,Stuffed zucchini with goat cheese and walnuts.
62,12. Говяжий строганов с грибами и сметаной,Beef Stroganoff with mushrooms and sour cream.
63,13. Ветчина в медово-горчичном соусе с запечёнными яблоками,Ham in honey-mustard sauce with baked apples.
64,14. Куриная грудка с чесночным маслом и тимьяном,Chicken breast with garlic butter and thyme.
65,15. Телятина в винном соусе с трюфельным маслом,Veal in wine sauce with truffle oil.
66,16. Лазанья с баклажанами и сыром рикотта,Eggplant and ricotta lasagna.
67,17. Ризотто с белыми грибами и пармезаном,Risotto with porcini mushrooms and parmesan.
68,18. Паста с морепродуктами в томатном соусе,Pasta with seafood in tomato sauce.
69,19. Спагетти карбонара с панчеттой и яичным желтком,Spaghetti carbonara with pancetta and egg yolk.
70,20. Пенне с артишоками и вялеными томатами,Penne with artichokes and sun-dried tomatoes.
71,21. Гречневая каша с грибами и луковым конфи,Buckwheat porridge with mushrooms and onion confit.
72,22. Плов с бараниной и курагой,Plov with lamb and dried apricots.
73,23. Пельмени с уткой и черносливом,Duck and prune dumplings.
74,24. Вареники с творогом и вишней,Cottage cheese and cherry vareniki.
75,25. Блины с красной икрой и сметаной,Pancakes with red caviar and sour cream.
76,26. Сырники с малиновым соусом,Cottage cheese pancakes with raspberry sauce.
77,27. Чизкейк с карамелью и морской солью,Cheesecake with caramel and sea salt.
78,28. Шоколадный фондан с малиной,Chocolate fondant with raspberry.
79,29. Тирамису с амаретто и какао,Tiramisu with amaretto and cocoa.
80,30. Крем-брюле с ванилью и свежими ягодами,Crème brûlée with vanilla and fresh berries.
81,31. Мороженое с фисташками и кленовым сиропом,Ice cream with pistachios and maple syrup.
82,32. Сорбет из лимона и мяты,Lemon and mint sorbet.
83,33. Глинтвейн с апельсином и корицей,Mulled wine with orange and cinnamon.
84,34. Безалкогольный мохито с лаймом и мятой,Non-alcoholic mojito with lime and mint.
85,35. Чай с жасмином и лепестками розы,Jasmine tea with rose petals.
86,36. Кофе с кардамоном и корицей,Coffee with cardamom and cinnamon.
87,37. Капучино с кокосовым молоком и карамелью,Cappuccino with coconut milk and caramel.
88,38. Смузи из манго и ананаса,Mango and pineapple smoothie.
89,39. Фреш из апельсина и моркови,Orange and carrot fresh juice.
90,40. Лимонад с мятой и лаймом,Lemonade with mint and lime.
91,41. Тосты с авокадо и кунжутом,Avocado toast with sesame.
92,42. Брускетта с томатами и базиликом,Bruschetta with tomatoes and basil.
93,43. Салат Цезарь с курицей и пармезаном,Caesar salad with chicken and parmesan.
94,44. Греческий салат с фетой и оливками,Greek salad with feta and olives.
95,"45. Салат с рукколой, грушей и орехами",Arugula salad with pear and nuts.
96,"46. Салат с креветками, авокадо и грейпфрутом",Shrimp salad with avocado and grapefruit.
97,"47. Салат с курицей, ананасом и сыром",Chicken salad with pineapple and cheese.
98,"48. Салат с тунцом, яйцом и огурцом",Tuna salad with egg and cucumber.
99,49. Салат с копчёным лососем и спаржей,Smoked salmon salad with asparagus.
100,"50. Салат с беконом, яйцом и сыром","Bacon, egg and cheese salad."
101,51. Суп из чечевицы с копчёностями,Lentil soup with smoked meats.
102,52. Солянка с колбасой и копчёностями,Solyanka with sausage and smoked meats.
103,53. Суп с фрикадельками и рисом,Meatball soup with rice.
104,54. Суп с курицей и вермишелью,Chicken noodle soup.
105,55. Суп с грибами и перловкой,Mushroom and barley soup.
106,56. Холодец с хреном и горчицей,Meat jelly with horseradish and mustard.
107,57. Жаркое из свинины с картофелем и морковью,Pork roast with potatoes and carrots.
108,58. Гуляш из говядины с картофельным пюре,Beef goulash with mashed potatoes.
109,59. Курица в сливочном соусе с грибами,Chicken in cream sauce with mushrooms.
110,60. Индейка с клюквенным соусом и брокколи,Turkey with cranberry sauce and broccoli.
111,61. Утиная грудка с апельсиновым соусом и картофелем,Duck breast with orange sauce and potatoes.
112,62. Ягнёнок в травах с запечёнными овощами,Herb-crusted lamb with roasted vegetables.
113,63. Телячьи отбивные с соусом демиглас,Veal chops with demi-glace sauce.
114,64. Свиные рёбрышки с барбекю соусом,Pork ribs with barbecue sauce.
115,65. Котлеты по-киевски с зеленью,Chicken Kiev with herbs.
116,66. Бифштекс с луковым кольцом и картофелем фри,Beefsteak with onion rings and fries.
117,67. Гамбургер с беконом и сыром чеддер,Hamburger with bacon and cheddar cheese.
118,68. Чизбургер с грибами и соусом BBQ,Cheeseburger with mushrooms and BBQ sauce.
119,69. Сэндвич с индейкой и авокадо,Turkey and avocado sandwich.
120,70. Бургер с лососем и соусом тар-тар,Salmon burger with tartar sauce.
121,71. Пицца с ветчиной и грибами,Ham and mushroom pizza.
122,72. Пицца с морепродуктами и сыром,Seafood and cheese pizza.
123,73. Пицца с четырьмя сырами,Four-cheese pizza.
124,74. Пицца с пепперони и оливками,Pepperoni and olive pizza.
125,75. Пицца с овощами и тофу,Vegetable and tofu pizza.
126,76. Пирог с капустой и яйцом,Cabbage and egg pie.
127,77. Пирог с яблоками и корицей,Apple and cinnamon pie.
128,78. Пирог с вишней и творогом,Cherry and cottage cheese pie.
129,79. Пирог с курицей и грибами,Chicken and mushroom pie.
130,80. Пирог с рыбой и рисом,Fish and rice pie.
131,81. Ватрушка с творогом и изюмом,Cottage cheese and raisin pastry.
132,82. Пончики с шоколадной глазурью,Donuts with chocolate glaze.
133,83. Эклер с заварным кремом,Éclair with custard cream.
134,84. Макаруны с малиной,Macarons with raspberry.
135,85. Панна-котта с малиновым соусом,Panna cotta with raspberry sauce.
136,86. Профитроли с шоколадным соусом,Profiteroles with chocolate sauce.
137,87. Штрудель с яблоками и орехами,Apple and walnut strudel.
138,88. Кекс с черникой и лимонной глазурью,Blueberry and lemon glaze muffin.
139,89. Брауни с грецким орехом,Brownie with walnuts.
140,90. Медовик с грецкими орехами,Honey cake with walnuts.
141,91. Наполеон с заварным кремом,Napoleon with custard cream.
142,"92. Торт ""Птичье молоко"" с шоколадом","""Bird’s Milk"" cake with chocolate."
143,"93. Торт ""Красный бархат"" с кремом из сыра маскарпоне",Red velvet cake with mascarpone cream.
144,"94. Торт ""Черный лес"" с вишней",Black Forest cake with cherries.
145,"95. Торт ""Медовый"" с орехами",Honey cake with nuts.
146,"96. Торт ""Прага"" с шоколадом и орехами","""Prague"" cake with chocolate and nuts."
147,"97. Торт ""Тирамису"" с кофе и какао",Tiramisu cake with coffee and cocoa.
148,"98. Торт ""Чизкейк"" с клубникой",Cheesecake with strawberries.
149,"99. Торт ""Мраморный"" с шоколадом и ванилью",Marble cake with chocolate and vanilla.
150,"100. Торт ""Лимонный"" с лимонной глазурью",Lemon cake with lemon glaze.
151,1. Уха из сибирской щуки с кореньями и копчёным салом,Siberian pike fish soup with roots and smoked lard
152,2. Томатный суп с базиликом и моцареллой,Tomato soup with basil and mozzarella
153,3. Крем-суп из лесных грибов с трюфельным маслом,Cream of wild mushroom soup with truffle oil
154,4. Холодный свекольник со сметаной и укропом,Cold beetroot soup with sour cream and dill
155,5. Бульон из гуся с пельменями и зеленью,Goose broth with dumplings and herbs
156,6. Карпаччо из лося с пармезаном и рукколой,Elk carpaccio with parmesan and arugula
157,7. Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame
158,8. Брускетта с икрой трески и сливочным сыром,Bruschetta with cod roe and cream cheese
159,9. Салат с копчёным лососем и мандаринами,Salad with smoked salmon and mandarins
160,10. Капрезе с черри и бальзамическим соусом,Caprese with cherry tomatoes and balsamic glaze
161,11. Лосось в медово-горчичном соусе с рисом,Salmon in honey mustard sauce with rice
162,12. Стейк Рибей на углях с картофельным пюре,Grilled ribeye steak with mashed potatoes
163,13. Утиная грудка с яблочным пюре и брюссельской капустой,Duck breast with apple purée and Brussels sprouts
164,14. Филе индейки с грибным соусом и киноа,Turkey fillet with mushroom sauce and quinoa
165,15. Запечённая форель с лимоном и травами,Baked trout with lemon and herbs
166,16. Корейка ягнёнка с розмарином и чесночным пюре,Lamb loin with rosemary and garlic mash
167,17. Паста с морепродуктами в сливочном соусе,Seafood pasta in creamy sauce
168,18. Рагу из оленины с овощами и красным вином,Venison stew with vegetables and red wine
169,19. Котлеты из телятины с гречкой и сливочным соусом,Veal cutlets with buckwheat and cream sauce
170,20. Запечённый карп с имбирём и соевым соусом,Baked carp with ginger and soy sauce
171,21. Чизкейк с малиновым соусом,Cheesecake with raspberry sauce
172,22. Шоколадный фондан с ванильным мороженым,Chocolate fondant with vanilla ice cream
173,"23. Торт ""Медовик"" с карамелью",Honey cake with caramel
174,24. Клюквенный пирог с мороженым,Cranberry pie with ice cream
175,25. Миндальное печенье с шоколадной глазурью,Almond cookies with chocolate glaze
176,26. Тирамису с клубникой,Tiramisu with strawberries
177,27. Пудинг из манго с кокосовой стружкой,Mango pudding with coconut flakes
178,28. Ягодный мусс с белым шоколадом,Berry mousse with white chocolate
179,29. Панна котта с вишнёвым соусом,Panna cotta with cherry sauce
180,30. Мороженое с фисташками и мёдом,Pistachio and honey ice cream
181,31. Морс из клюквы и брусники,Lingonberry and cranberry fruit drink
182,32. Глинтвейн с яблоком и корицей,Mulled wine with apple and cinnamon
183,33. Смузи из банана и киви,Banana and kiwi smoothie
184,34. Чай с мятой и лимоном,Mint and lemon tea
185,"35. Коктейль ""Мохито"" с лаймом",Mojito with lime
186,36. Сок из свежего ананаса,Fresh pineapple juice
187,"37. Кофе ""Флэт уайт"" с миндальным молоком",Flat white with almond milk
188,38. Лимонад с имбирём и мёдом,Ginger and honey lemonade
189,39. Зелёный чай с жасмином,Jasmine green tea
190,40. Какао с зефиром,Hot cocoa with marshmallows
191,41. Креветки в чесночном соусе,Shrimp in garlic sauce
192,42. Мидии в белом вине с зеленью,Mussels in white wine with herbs
193,43. Копчёный угорь с соусом терияки,Smoked eel with teriyaki sauce
194,44. Осетрина запечённая с лимоном и укропом,Baked sturgeon with lemon and dill
195,45. Кальмары в кляре с соусом тартар,Fried calamari with tartar sauce
196,46. Лосось на пару с брокколи,Steamed salmon with broccoli
197,47. Скумбрия с картофелем и луком,Mackerel with potatoes and onions
198,48. Каракатица с рисом и специями,Cuttlefish with rice and spices
199,49. Семга на гриле с овощами,Grilled salmon with vegetables
200,50. Сельдь с картофелем и сметаной,Herring with potatoes and sour cream
201,"51. Говядина ""Веллингтон"" с грибами",Beef Wellington with mushrooms
202,52. Баранина в медово-чесночном соусе,Lamb in honey-garlic sauce
203,53. Свиные рёбрышки барбекю,BBQ pork ribs
204,54. Фаршированный перец с мясом и рисом,Stuffed bell pepper with meat and rice
205,55. Курица в сырном соусе,Chicken in cheese sauce
206,56. Кролик в сливочном соусе с овощами,Rabbit in cream sauce with vegetables
207,57. Говяжий язык с хреном,Beef tongue with horseradish
208,58. Колбаски с картофельным пюре,Sausages with mashed potatoes
209,59. Свиная корейка с яблоками,Pork loin with apples
210,60. Телячий стейк с бальзамическим соусом,Veal steak with balsamic sauce
211,61. Фалафель с хумусом и овощами,Falafel with hummus and vegetables
212,62. Рататуй с базиликом,Ratatouille with basil
213,63. Тыквенный суп с кокосовым молоком,Pumpkin soup with coconut milk
214,64. Гречка с грибами и луком,Buckwheat with mushrooms and onions
215,65. Овощное рагу с нутом,Vegetable stew with chickpeas
216,66. Лазанья с баклажанами и сыром,Eggplant and cheese lasagna
217,67. Картофельные драники с соусом,Potato pancakes with sauce
218,68. Кускус с овощами и оливковым маслом,Couscous with vegetables and olive oil
219,69. Брокколи на пару с сыром,Steamed broccoli with cheese
220,70. Запечённые овощи с травами,Baked vegetables with herbs
221,71. Спагетти с мидиями и чесноком,Spaghetti with mussels and garlic
222,72. Ризотто с трюфелями,Truffle risotto
223,73. Паста с песто и кедровыми орешками,Pasta with pesto and pine nuts
224,74. Лазанья с шпинатом и сыром,Spinach and cheese lasagna
225,75. Феттучини с грибами и сливками,Fettuccine with mushrooms and cream
226,76. Паста с томатами и базиликом,Pasta with tomatoes and basil
227,77. Ризотто с морепродуктами,Seafood risotto
228,78. Лингвини с креветками и лимоном,Linguine with shrimp and lemon
229,79. Паста с сыром и чёрным перцем,Pasta with cheese and black pepper
230,80. Ризотто с шафраном и пармезаном,Saffron risotto with parmesan
231,"81. Салат ""Цезарь"" с курицей",Caesar salad with chicken
232,82. Греческий салат с оливками,Greek salad with olives
233,83. Салат с авокадо и креветками,Avocado and shrimp salad
234,84. Салат с козьим сыром и свёклой,Goat cheese and beetroot salad
235,85. Салат с рукколой и пармезаном,Arugula and parmesan salad
236,86. Салат с тунцом и яйцом,Tuna and egg salad
237,87. Салат с яблоком и сельдереем,Apple and celery salad
238,88. Салат с кукурузой и фасолью,Corn and bean salad
239,89. Салат с киноа и овощами,Quinoa and vegetable salad
240,90. Салат с орехами и мёдом,Nut and honey salad
241,91. Пельмени со сметаной,Dumplings with sour cream
242,92. Блины с красной икрой,Pancakes with red caviar
243,93. Окрошка на квасе,Okroshka with kvass
244,94. Холодец с хреном,Meat jelly with horseradish
245,95. Солянка с копчёностями,Solyanka with smoked meats
246,96. Манты с бараниной,Manti with lamb
247,97. Чак-чак с медом,Chak-chak with honey
248,98. Плов с бараниной,Plov with lamb
249,99. Галушки с грибами,Dumplings with mushrooms
250,100. Шашлык из свинины,Pork shashlik
251,101. Сырная тарелка с орехами,Cheese platter with nuts
252,102. Домашний творог с мёдом,Homemade cottage cheese with honey
253,103. Камамбер с фруктовым соусом,Camembert with fruit sauce
254,104. Козий сыр с оливками,Goat cheese with olives
255,105. Тальеж с красным вином,Taleggio with red wine
256,106. Сырный фондю,Cheese fondue
257,107. Мягкий сыр с ягодным джемом,Soft cheese with berry jam
258,108. Овечий сыр с травами,Sheep’s cheese with herbs
259,109. Пармезан с бальзамическим соусом,Parmesan with balsamic glaze
260,110. Голубой сыр с грецкими орехами,Blue cheese with walnuts
261,111. Тофу с овощами и соевым соусом,Tofu with vegetables and soy sauce
262,112. Веганский бургер с авокадо,Vegan burger with avocado
263,113. Салат с киноа и тофу,Quinoa and tofu salad
264,114. Овощной суп с нутом,Vegetable soup with chickpeas
265,115. Фалафель с тахини,Falafel with tahini
266,116. Веганские котлеты из чечевицы,Lentil vegan patties
267,117. Картофель с травами и оливковым маслом,Potatoes with herbs and olive oil
268,118. Овощное карри с рисом,Vegetable curry with rice
269,119. Веганский шоколадный торт,Vegan chocolate cake
270,120. Фруктовый салат с мёдом,Fruit salad with honey
271,121. Маргарита с солью,Margarita with salt
272,"122. Коктейль ""Космополитан""",Cosmopolitan cocktail
273,123. Виски со льдом,Whiskey on the rocks
274,"124. Красное вино ""Каберне Совиньон""",Cabernet Sauvignon red wine
275,"125. Коктейль ""Пина Колада""",Piña Colada cocktail
276,"126. Белое вино ""Шардоне""",Chardonnay white wine
277,"127. Коктейль ""Дайкири""",Daiquiri cocktail
278,128. Коньяк с кофе,Cognac with coffee
279,"129. Коктейль ""Кровавая Мэри""",Bloody Mary cocktail
280,130. Ром с колой,Rum and coke
281,131. Сибирские пельмени с грибами,Siberian dumplings with mushrooms
282,132. Бургер из медвежатины,Bear meat burger
283,133. Запечённый филей из кабана,Roasted wild boar fillet
284,134. Дикий кабан с ягодным соусом,Wild boar with berry sauce
285,135. Медвежий шашлык,Bear meat shashlik
286,136. Рыбный пирог с икрой,Fish pie with caviar
287,137. Утиная грудка с клюквой,Duck breast with cranberries
288,138. Запечённый козлёнок с травами,Roasted goat with herbs
289,139. Фаршированный перепел,Stuffed quail
290,140. Десерт из морошки,Cloudberry dessert
291,"141. Коктейль ""Сибирский мороз""",Siberian Frost cocktail
292,142. Чай из таёжных трав,Taiga herbal tea
293,143. Настойка на кедровых орехах,Pine nut tincture
294,144. Лимонад из облепихи,Sea buckthorn lemonade
295,145. Сибирский морс из клюквы,Siberian cranberry drink
296,"146. Коктейль ""Тайга""",Taiga cocktail
297,147. Настойка на шишках,Pine cone tincture
298,148. Чай с чагой,Chaga tea
299,149. Настойка на бруснике,Lingonberry tincture
300,150. Лимонад из мяты и липы,Mint and linden lemonade
301,"151. Торт ""Тайга"" с лесными ягодами",Taiga cake with wild berries
302,152. Пирог с кедровыми орехами,Pine nut pie
303,153. Десерт из брусники и сливок,Lingonberry and cream dessert
304,154. Мороженое из облепихи,Sea buckthorn ice cream
305,155. Чизкейк с клюквой,Cranberry cheesecake
306,156. Пирог с малиной и белым шоколадом,Raspberry and white chocolate pie
307,157. Десерт из черники и кешью,Blueberry and cashew dessert
308,"158. Торт ""Лесной орех""",Hazelnut cake
309,159. Мусс из морошки и мёда,Cloudberry and honey mousse
310,160. Пирог с клубникой и миндалём,Strawberry and almond pie
311,"Вот 200 новых реалистичных позиций меню в формате ""русский","английский"":"
312,1. **Карась в лимонном маринаде с розмарином и чесночным маслом**,Crucian carp in lemon marinade with rosemary and garlic oil
313,2. **Фаршированные перцы с говядиной и рисом под томатным соусом**,Stuffed bell peppers with beef and rice in tomato sauce
314,3. **Тыквенный суп-пюре с кокосовым молоком и имбирем**,Pumpkin cream soup with coconut milk and ginger
315,4. **Запеченный картофель с трюфельным маслом и пармезаном**,Baked potatoes with truffle oil and parmesan
316,"5. **Салат из авокадо, креветок и грейпфрута с цитрусовым дрессингом**","Avocado, shrimp and grapefruit salad with citrus dressing"
317,6. **Паста с морепродуктами в сливочно-чесночном соусе**,Pasta with seafood in creamy garlic sauce
318,7. **Утка в апельсиновом соусе с картофелем фри**,Duck in orange sauce served with french fries
319,8. **Сырный суп с брокколи и хрустящими гренками**,Cheesy broccoli soup with crispy croutons
320,9. **Куриные котлеты с грибным соусом и гречневой кашей**,Chicken cutlets with mushroom sauce and buckwheat porridge
321,10. **Стейк из лосося с овощами гриль и соусом песто**,Salmon steak with grilled vegetables and pesto sauce
322,11. **Рулетики из баклажанов с сыром и томатами**,Eggplant rolls stuffed with cheese and tomatoes
323,12. **Суп из морепродуктов с шафраном и базиликом**,Seafood soup with saffron and basil
324,13. **Фокачча с оливками и розмарином**,Focaccia with olives and rosemary
325,14. **Каре ягненка с мятным соусом и запеченными овощами**,Lamb rack with mint sauce and roasted vegetables
326,"15. **Салат с тунцом, яйцом и стручковой фасолью**","Salad with tuna, egg and green beans"
327,16. **Ризотто с грибами и трюфельным маслом**,Mushroom risotto with truffle oil
328,17. **Пирог с яблоками и корицей**,Apple pie with cinnamon
329,18. **Брускетта с томатами и базиликом**,Bruschetta with tomatoes and basil
330,19. **Карпаччо из говядины с рукколой и пармезаном**,Beef carpaccio with arugula and parmesan
331,20. **Суп с фрикадельками и лапшой**,Meatball soup with noodles
332,21. **Греческий салат с оливками и фетой**,Greek salad with olives and feta
333,22. **Лазанья с мясным фаршем и бешамель**,Lasagna with minced meat and béchamel sauce
334,23. **Тартар из тунца с авокадо и кунжутом**,Tuna tartare with avocado and sesame
335,24. **Суп с чечевицей и копченым беконом**,Lentil soup with smoked bacon
336,"25. **Гусь, запеченный с яблоками и медом**",Roasted goose with apples and honey
337,"26. **Салат с курицей, ананасом и орехами кешью**",Chicken salad with pineapple and cashews
338,27. **Картофельное пюре с зеленью и сливочным маслом**,Mashed potatoes with herbs and butter
339,28. **Стейк из говядины с красным вином и грибами**,Beef steak with red wine and mushrooms
340,"29. **Салат с креветками, авокадо и манго**",Shrimp salad with avocado and mango
341,30. **Паста карбонара с беконом и пармезаном**,Carbonara pasta with bacon and parmesan
342,31. **Суп с курицей и лапшой**,Chicken noodle soup
343,32. **Жареные кабачки с чесноком и зеленью**,Fried zucchini with garlic and herbs
344,33. **Курица в сливочном соусе с грибами**,Chicken in creamy mushroom sauce
345,"34. **Салат с беконом, яйцом и салатными листьями**","Salad with bacon, egg and lettuce"
346,35. **Томатный суп с базиликом и сливками**,Tomato soup with basil and cream
347,36. **Жареный рис с овощами и курицей**,Fried rice with vegetables and chicken
348,37. **Стейк из тунца с соусом терияки**,Tuna steak with teriyaki sauce
349,38. **Сырный фондю с хлебом и овощами**,Cheese fondue with bread and vegetables
350,"39. **Салат с говядиной, рукколой и томатами**",Beef salad with arugula and tomatoes
351,40. **Пирог с сыром и зеленью**,Cheese and herb pie
352,41. **Запеченная рыба с лимоном и травами**,Baked fish with lemon and herbs
353,42. **Крем-суп из брокколи с хрустящими гренками**,Broccoli cream soup with crispy croutons
354,43. **Паста с лососем и сливочным соусом**,Pasta with salmon and creamy sauce
355,"44. **Салат с курицей, виноградом и орехами**",Chicken salad with grapes and nuts
356,45. **Картофельные драники с сметаной**,Potato pancakes with sour cream
357,46. **Суп с фасолью и копченой колбасой**,Bean soup with smoked sausage
358,47. **Стейк из свинины с яблочным соусом**,Pork steak with apple sauce
359,"48. **Салат с креветками, авокадо и рукколой**",Shrimp salad with avocado and arugula
360,49. **Паста с грибами и сливочным соусом**,Pasta with mushrooms and creamy sauce
361,50. **Суп с курицей и рисом**,Chicken and rice soup
362,51. **Жареные баклажаны с чесноком и зеленью**,Fried eggplant with garlic and herbs
363,52. **Курица в медовом соусе с кунжутом**,Chicken in honey sauce with sesame
364,"53. **Салат с тунцом, кукурузой и яйцом**","Salad with tuna, corn and egg"
365,54. **Томатный суп с базиликом и чесночными гренками**,Tomato soup with basil and garlic croutons
366,55. **Жареный рис с креветками и овощами**,Fried rice with shrimp and vegetables
367,56. **Стейк из лосося с соусом песто**,Salmon steak with pesto sauce
368,57. **Сырный фондю с хлебом и яблоками**,Cheese fondue with bread and apples
369,"58. **Салат с курицей, огурцами и томатами**",Chicken salad with cucumbers and tomatoes
370,59. **Пирог с грибами и сыром**,Mushroom and cheese pie
371,60. **Запеченная рыба с травами и лимоном**,Baked fish with herbs and lemon
372,61. **Крем-суп из тыквы с хрустящими гренками**,Pumpkin cream soup with crispy croutons
